date,weekday,phase,hour_1_task,hour_1_ai,hour_2_task,hour_2_ai,hour_3_task,hour_3_ai,hour_4_task,hour_4_ai,day_done_criteria
2026-02-22,Вс,Фаза 1: Сдвинутый запуск,Kick-off: сверка целей/KPI/SLA с брифом,"ChatGPT для структуры/чеклиста, ручная валидация",Заполнение Day1-опросника и фиксация пробелов,"Claude/ChatGPT для генерации черновиков, ручная редактура",Формализация качественного лида и lost reasons,"AI как copilot для вариантов и проверки, финальное решение вручную",Отправка протокола клиенту + список доступов/дедлайнов,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-02-23,Пн,Фаза 1: Сдвинутый запуск,"Сбор материалов (цены, гарантии, кейсы) + gap-list","ChatGPT для структуры/чеклиста, ручная валидация",Генерация 8 офферов (AI: ChatGPT+Claude),"Claude/ChatGPT для генерации черновиков, ручная редактура",Редактура финальных 4 офферов и CTA,"AI как copilot для вариантов и проверки, финальное решение вручную",Пакет на согласование: экраны/квиз/форма,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-02-24,Вт,Фаза 1: Сдвинутый запуск,Аудит домена/SSL/доступности страниц,"ChatGPT для структуры/чеклиста, ручная валидация",Технастройка боевой доступности и редиректов,"Claude/ChatGPT для генерации черновиков, ручная редактура",QA: формы/кнопки/мессенджеры mobile+desktop,"AI как copilot для вариантов и проверки, финальное решение вручную",Buglist P1/P2 + план исправлений,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-02-25,Ср,Фаза 1: Сдвинутый запуск,Подключение CRM и стадий pipeline,"ChatGPT для структуры/чеклиста, ручная валидация",Маппинг полей UTM/quiz/landing/client_id,"Claude/ChatGPT для генерации черновиков, ручная редактура",Прогон тест-лида в CRM и проверка карточки,"AI как copilot для вариантов и проверки, финальное решение вручную","Регламент обработки лида (SLA 5 мин, 3 попытки)","AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-02-26,Чт,Фаза 1: Сдвинутый запуск,Подключение Метрика/GA4/VK-пиксель,"ChatGPT для структуры/чеклиста, ручная валидация",Настройка событий view_offer/start_quiz/submit_lead/click_call/open_whatsapp,"Claude/ChatGPT для генерации черновиков, ручная редактура",Проверка UTM-атрибуции в отчетах,"AI как copilot для вариантов и проверки, финальное решение вручную",Сборка базового дашборда KPI,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-02-27,Пт,Фаза 1: Сдвинутый запуск,Структура кампаний Яндекс/VK по 2 воронкам,"ChatGPT для структуры/чеклиста, ручная валидация",Генерация креативов (AI: Midjourney/Ideogram + ChatGPT),"Claude/ChatGPT для генерации черновиков, ручная редактура",Валидация UTM-стандарта и посадок,"AI как copilot для вариантов и проверки, финальное решение вручную",Подготовка кампаний к запуску в 1 клик,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-02-28,Сб,Фаза 1: Сдвинутый запуск,Запуск тест-трафика малым бюджетом,"ChatGPT для структуры/чеклиста, ручная валидация",Мониторинг первых кликов/событий/лидов,"Claude/ChatGPT для генерации черновиков, ручная редактура",Сверка CRM vs аналитика (атрибуция),"AI как copilot для вариантов и проверки, финальное решение вручную",Быстрые правки объявлений и лендингов,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-01,Вс,Фаза 1: Сдвинутый запуск,Отключение слабых связок (CPL↑/качество↓),"ChatGPT для структуры/чеклиста, ручная валидация",Мини-оптимизация ставок/аудиторий/креативов,"Claude/ChatGPT для генерации черновиков, ручная редактура",Промежуточный отчет 22.02-01.03,"AI как copilot для вариантов и проверки, финальное решение вручную",Утверждение спринта на март,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-02,Пн,Фаза 2: Стабилизация SLA/качества,Daily KPI-срез + проблемные места,"ChatGPT для структуры/чеклиста, ручная валидация",Анализ недозвонов и причин потерь,"Claude/ChatGPT для генерации черновиков, ручная редактура",Правки скрипта первого звонка (AI: Claude),"AI как copilot для вариантов и проверки, финальное решение вручную",Отчет клиенту + задачи на 03.03,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-03,Вт,Фаза 2: Стабилизация SLA/качества,Разбор воронки по этапам CRM,"ChatGPT для структуры/чеклиста, ручная валидация",Очистка нецелевых запросов/минус-сегментов,"Claude/ChatGPT для генерации черновиков, ручная редактура","Правки формы (фрикция, поля, CTA)","AI как copilot для вариантов и проверки, финальное решение вручную",QA и фиксация изменений в журнале,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
